|h2e2
b0c2,c6c5|g3g4
b0c2,c6c5,h2f2|b9c7
b0c2,c6c5,h2f2,b9c7|h0g2
b0c2,c6c5,h2f2,b9c7,h0g2|h9i7
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7|i0h0
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7,i0h0|i9h9
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7,i0h0,h7g7|b2a2
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7,i0h0,h7g7,b2a2|a9b9
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7,i0h0,h7g7,b2a2,a9b9|a0b0
b0c2,c6c5,h2f2,b9c7,h0g2,h9i7,i0h0,h7g7,b2a2,a9b9,a0b0|b7b3
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,c3c4|h7i7
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,c3c4,a9a8|b0c2
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,c3c4,a9a8,b0c2|a8d8
c3c4,g6g5,h2g2,b7e7|b0c2
c3c4,g6g5,h2g2,b7e7,g3g4|b9c7
c3c4,g6g5,h2g2,b7e7,g3g4,h9i7|g4g5
c3c4,g6g5,h2g2,b7e7,g3g4,h9i7,g4g5|b9c7
c3c4,g6g5,h2g2,b7e7,g3g4,h9i7,g4g5,b9c7|c0e2
c3c4,g6g5,h2g2,b7e7,g3g4,h9i7,g4g5,b9c7,c0e2|a9b9
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9|b0c2
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2|b9c7
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,h7i7|i0i1
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,h7i7,b2b4|c9e7
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,h7i7,b2b4,c9e7|i0i1
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,h7i7,b2b4,c9e7,c2d4|d9e8
h2e2,b9c7,h0g2,h7f7,i0h0|h9g7
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7|c3c4
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4|c6c5
