|h2e2
b2d2,b9c7,c3c4,g6g5,b0c2,h9g7,a0b0|a9b9
b2e2,b9c7,c3c4,g6g5,b0c2,a9b9,a0b0,h9g7,h0g2|b7b3
b2e2,b9c7,c3c4,g6g5,b0c2,a9b9,a0b0,h9g7,h0g2,b7b3|h2h6
g0e2,h7f7,h0g2,g6g5,i0h0,h9g7,h2i2,c9e7|c3c4
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,h0h6,h7i7|h6h9
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,h0h6,h7i7,h6h9|g7h9
g3g4,b7e7,b0c2,b9c7,a0b0,a9b9,b2b6,c6c5,h0g2,c7d5,h2h6|f9e8
g0e2,b7d7,g3g4,b9c7,a0a1,a9b9,a1d1,f9e8,b0a2|h7e7
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,i0i1,i9i8,c0e2|i8c8
h2e2,b9c7,h0g2,h7f7,g3g4,i9i8,b0a2,i8d8,b2c2,d8d4,g0i2|a9b9
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,b0c2,b7b3|c2d4
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2|b7b3
h2d2,b7g7|c3c4
h2d2,b7g7,c3c4|b9c7
h2d2,b7g7,c3c4,b9c7|b2c2
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,b0a2,a9b9,g3g4|f9e8
b0c2,h7d7,h2e2|h9g7
b0c2,h7d7,h2e2,h9g7|h0g2
b0c2,h7d7,h2e2,h9g7,h0g2|i9h9
b0c2,h7d7,h2e2,h9g7,h0g2,i9h9|i0i1
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,c6c5,b0c2,i9h9|h0h9
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,c6c5,b0c2,i9h9,h0h9|g7h9
g0e2,b7d7,g3g4,b9c7,h0g2|a9b9
g0e2,b7d7,g3g4,b9c7,h0g2,a9b9|g2f4
g0e2,b7d7,g3g4,b9c7,h0g2,a9b9,g2f4|h9g7
g0e2,b7d7,g3g4,b9c7,h0g2,a9b9,g2f4,h9g7|b2c2
g0e2,b7d7,g3g4,b9c7,h0g2,a9b9,g2f4,h9g7,b2c2|b9b5
g0e2,b7d7,g3g4,b9c7,h0g2,a9b9,g2f4,h9g7,b2c2,b9b5|f4g6
h2d2,i9i8,h0g2,h7e7,i0h0,h9g7,b0c2,b9c7|c3c4
h2d2,i9i8,h0g2,h7e7,i0h0,h9g7,b0c2,b9c7,c3c4|i8d8
g0e2,b7d7,c3c4,b9c7,b0c2,a9b9,a0b0,h9g7|h0g2
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,a0a1,a9a8,a1f1,a8c8,f1f4|c6c5
h2d2,h9g7,h0g2,i9h9,c3c4,b7c7,b0a2,g6g5|a0b0
h2d2,h9g7,h0g2,i9h9,c3c4,b7c7,b0a2,g6g5,a0b0|a6a5
h2d2,h9g7,h0g2,i9h9,c3c4,b7c7,b0a2,g6g5,a0b0,a6a5|g0e2
h2d2,h9g7,h0g2,i9h9,c3c4,b7c7,b0a2,g6g5,a0b0,a6a5,g0e2|b9a7
g3g4,c6c5,h2f2,b9c7,h0g2,h9i7|b2e2
g0e2,b7d7,b0c2,c6c5,g3g4,b9c7,h0g2,a9b9,a0b0,b9b5|g2f4
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1,a9a8,h2i2|h9g7
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1,a9a8,h2i2,h9g7|i0h0
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1,a9a8,h2i2,h9g7,i0h0|i9h9
c3c4,h7e7,h0g2,h9g7,i0h0,i9h9,h2h6,g6g5,b0c2,g7f5,b2a2|g5g4
g0e2,g9e7,c3c4,g6g5,b0c2,b9a7,b2a2,h9g7|a0b0
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,c2d4|b9d8
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,c2d4,b9d8|b2d2
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,c2d4,b9d8,b2d2|i9i8
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,c2d4,b9d8,b2d2,i9i8|a0b0
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,c2d4,b9d8,b2d2,i9i8,a0b0|a9b9
c3c4,g6g5,g0e2,h9g7,b0c2,c9e7,a0a1|b9d8
c3c4,g6g5,g0e2,h9g7,b0c2,c9e7,a0a1,b9d8|a1f1
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,a0a1,a9a8,a1g1,h9g7|g3g4
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,a0a1,a9a8,a1g1,h9g7,g3g4|g5g4
c3c4,g6g5,b2f2|h9g7
c3c4,g6g5,b2f2,h9g7|b0c2
c3c4,g6g5,b2f2,h9g7,b0c2|c9e7
c3c4,g6g5,b2f2,h9g7,b0c2,c9e7|h0i2
c3c4,g6g5,b2f2,h9g7,b0c2,c9e7,h0i2|i9i8
c3c4,g6g5,b2f2,h9g7,b0c2,c9e7,h0i2,i9i8|g0e2
c3c4,g6g5,b2f2,h9g7,b0c2,c9e7,h0i2,i9i8,g0e2|b9d8
c3c4,g6g5,b2e2,h9g7,b0c2,c9e7,h0g2,b9d8,i0i1,g7f5|i1f1
h2f2,h9g7,g3g4,i9h9,h0g2,c6c5,i0h0,b9c7,b0c2,a9a8|c0e2
h2f2,h9g7,g3g4,i9h9,h0g2,c6c5,i0h0,b9c7,b0c2,a9a8,c0e2|a8f8
c3c4,g6g5,b0c2,b9c7,a0a1,b7a7|c2b4
b0c2,c6c5,h2e2,b9c7,h0g2,h9g7,i0h0,i9h9,g3g4,a9a8,b2b6|c7b5
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,b7b3|h0g2
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,b7b3,h0g2|h9i7
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,b7b3,h0g2,h9i7|i0h0
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,b7b3,h0g2,h9i7,i0h0|i9h9
h2f2,g6g5,h0i2,h9g7,i0h0,i9h9,b2e2,h7h3,b0c2,b9a7|a0b0
h2f2,g6g5,h0i2,h9g7,i0h0,i9h9,b2e2,h7h3,b0c2,b9a7,a0b0|a9b9
h2e2,b9c7,h0g2,g6g5,i0h0,h7f7,h0h8,d9e8,b0a2|b7b8
h2e2,b9c7,h0g2,g6g5,i0h0,h7f7,h0h8,d9e8,b0a2,b7b8|h8h6
h2e2,b9c7,h0g2,g6g5,i0h0,h7f7,h0h8,d9e8,b0a2,b7b8,h8h6|h9g7
h2e2,b9c7,h0g2,b7a7,b0a2,h9i7,i0h0,i9h9,a0b0,a9b9,b2b6|c6c5
g0e2,h7d7,h2f2,h9g7,h0g2,i9h9,c3c4,b9a7,b0c2,g6g5|a0a1
c3c4,g6g5,h2g2,b7e7,b0c2,b9c7,a0b0,h9g7,g0e2,g7f5,g2g5|f5e3
g0e2,b9c7,g3g4,c6c5,h0g2,c7d5,b0c2,h7e7|a0a1
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,b2c2,a6a5|i0h0
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,b2c2,a6a5,i0h0|i9h9
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,b2c2,a6a5,i0h0,i9h9|h0h6
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,b2c2,a6a5,i0h0,i9h9,h0h6|c7b5
g0e2,h7e7,b0c2,h9g7,h2f2,i9h9,h0g2,b9c7,c3c4,e6e5,f0e1|c7e6
h2d2,h9g7,h0g2,i9h9,b0c2,c6c5,b2a2,b9c7|a0b0
h2d2,h9g7,h0g2,i9h9,b0c2,c6c5,b2a2,b9c7,a0b0|a9b9
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,g3g4,c6c5,b0a2,a9a8,b2b6|c7b5
c3c4,g9e7,b2e2,a9a8|h0i2
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0,a9a8,b2b8|h9f8
g3g4,b9c7,b2e2|c6c5
g3g4,b9c7,b2e2,c6c5|b0c2
g3g4,b9c7,b2e2,c6c5,b0c2|a9b9
c3c4,g6g5,b0c2,h9g7,h0i2,g9e7,h2f2,b9a7|i0h0
c3c4,h9g7,g3g4,b7c7,h0g2,c6c5,c0e2,c5c4,b0a2,c9e7,i0i1|i9i8
c3c4,g6g5,b0c2,h9g7,b2a2,b7f7,a0b0,b9c7,h2e2|g7f5
g0e2,h7d7,h2f2,h9g7,h0g2,i9h9,c3c4,c9e7|b0c2
g0e2,h7d7,h2f2,h9g7,h0g2,i9h9,c3c4,c9e7,b0c2|b9d8
c3c4,b7c7,d0e1,b9a7,b2e2,a9b9|b0c2
c3c4,b7c7,d0e1,b9a7,b2e2,a9b9,b0c2|h9g7
c3c4,b7c7,d0e1,b9a7,b2e2,a9b9,b0c2,h9g7|c2d4
c3c4,b7c7,d0e1,b9a7,b2e2,a9b9,b0c2,h9g7,c2d4|g9e7
c3c4,b7c7,d0e1,b9a7,b2e2,a9b9,b0c2,h9g7,c2d4,g9e7|h2f2
c3c4,b7c7,h2e2,c9e7,e2e6,d9e8,i0i2,b9d8,e6e5,a9b9|i2d2
h2e2,b9c7,h0g2,h9i7,i0h0,i9h9,g3g4|c6c5
c3c4,g6g5,b0c2,h9g7,h2e2,i9h9,h0g2,h7i7,i0i1,c9e7|b2a2
c3c4,g9e7,b0c2,g6g5,c2d4|h9g7
c3c4,b7c7,b0a2,b9a7,a0b0,h7e7,h0g2,h9g7,i0h0,a9b9|g3g4
c3c4,b7c7,b0a2,b9a7,a0b0,h7e7,h0g2,h9g7,i0h0,a9b9,g3g4|b9b5
g0e2,g6g5,c3c4,h9g7,b0c2,c9e7,a0a1,b9d8,h0f1|a9c9
g0e2,h7e7,b0c2,h9g7,b2a2,i9h9,h2f2,b9c7|a0b0
g0e2,b7f7,a0a1,b9c7,b0a2,a9b9|a1f1
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b2c2,a9a8|h0h6
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7,h2e2|b9c7
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7,h2e2,b9c7|h0g2
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7,h2e2,b9c7,h0g2|i9h9
c3c4,h9g7,g3g4,b7c7,b0a2,b9a7,a0b0,a9a8|h0g2
h2d2,i9i8,h0g2,i8d8,b0c2,h7c7|i0h0
h2d2,i9i8,h0g2,i8d8,b0c2,h7c7,i0h0|h9g7
h2d2,i9i8,h0g2,i8d8,b0c2,h7c7,i0h0,h9g7|b2a2
h2d2,i9i8,h0g2,i8d8,b0c2,h7c7,i0h0,h9g7,b2a2|b9a7
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9i7|h0g2
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9i7,h0g2|i9h9
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9i7,h0g2,i9h9|i0h0
h2d2,g6g5,h0g2,h9g7,i0h0,i9h9,h0h4,b9c7,b0c2,h7i7|h4f4
h2d2,g6g5,h0g2,h9g7,i0h0,i9h9,h0h4,b9c7,b0c2,h7i7,h4f4|c6c5
h2d2,g6g5,h0g2,h9g7,b0c2,c6c5,b2a2|b9c7
h2f2,b7e7,b0c2,b9c7,a0b0,h9i7,h0g2,a9b9|i0h0
h2f2,b7e7,b0c2,b9c7,a0b0,h9i7,h0g2,a9b9,i0h0|i9h9
c3c4,g6g5,b0c2,h9g7,h0i2,i9i8,h2g2,g7h5,c0e2|c9e7
c3c4,g6g5,b0c2,h9g7,h0g2,i9i8,i0i1,i8c8,h2h6,g7h5|c2d4
c3c4,g6g5,b0c2,h9g7,h0g2,i9i8,i0i1,i8c8,h2h6,g7h5,c2d4|c9e7
c3c4,h7e7,h2e2,h9g7,h0g2,i9h9,b0c2,b9a7|i0i1
g0e2,c9e7,g3g4,c6c5,h0g2,b9c7,b0a2,h9i7,b2d2,h7f7|a0b0
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9g7|h0g2
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9g7,h0g2|i9h9
b0c2,c6c5,b2a2,b9c7,a0b0,a9b9,h2d2,h9g7,h0g2,i9h9|i0i1
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,g3g4,b9c7,b0c2,a9a8|a0a1
h2d2,h7e7,h0g2,h9g7,g0e2,i9i8,f0e1,i8d8|i0f0
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5|b2a2
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5,b2a2|b9c7
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5,b2a2,b9c7|a0b0
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5,b2a2,b9c7,a0b0|a9b9
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5,b2a2,b9c7,a0b0,a9b9|b0b4
h2d2,h9g7,h0g2,i9h9,b0c2,g6g5,b2a2,b9c7,a0b0,a9b9,b0b4|b7a7
g0e2,g6g5,b0c2,g9e7,b2a2,b9c7,a0b0,a9b9,c3c4,h9g7,h0g2|g7f5
g0e2,h7d7,c3c4,h9g7,h2f2,b9a7,b0c2,b7c7,c2b4,d7e7,a3a4|e7e3
h2d2,g6g5,h0g2,h7d7,i0h0,h9g7,c3c4,b9a7,b0c2,i9i8|h0h4
h2d2,g6g5,h0g2,h7d7,i0h0,h9g7,c3c4,b9a7,b0c2,i9i8,h0h4|i8c8
b2d2,h7e7,h0g2,h9g7,i0h0,i9h9,b0c2,b9a7,g3g4|h9h5
c3c4,b7c7,h2e2,c9e7,c0a2,i9i8,h0g2,i8b8,b2d2,b8b1|i0i1
c3c4,b7c7,h2e2,c9e7,c0a2,i9i8,h0g2,i8b8,b2d2,b8b1,i0i1|h7h1
c3c4,h7d7,c0e2,h9g7,h0i2|i9h9
c3c4,h7d7,c0e2,h9g7,h0i2,i9h9|i0h0
c3c4,h7d7,c0e2,h9g7,h0i2,i9h9,i0h0|h9h5
g0e2,h7f7,i0i1|h9g7
g0e2,g9e7,c3c4,g6g5,b0c2,b9a7,a0a1,a9a8,a1f1,a8d8,f1f4|h9g7
c3c4,h7d7,h0g2,h9g7,b0c2,i9h9,i0h0,g6g5,h2h6|c9e7
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,a9a8,b2d2|h7h5
h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,b0a2,h7h3,b2d2,b7e7,d0e1|b9c7
h2e2,b9c7,h0g2,b7a7,b0c2,a9b9,a0b0,b9b3,i0h0,h7f7,h0h8|f9e8
c3c4,g6g5,b0c2,h9g7,g0e2,b9a7,a0a1,g9e7,a1f1|a9a8
c3c4,g6g5,b0c2,h9g7,g0e2,b9a7,a0a1,g9e7,a1f1,a9a8|c2b4
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7|b0c2
g3g4,h7g7,b2e2,g9e7,h0i2,a9a8,e2e6,f9e8,b0c2,h9f8,e6e5|a8d8
c3c4,b7c7,h2e2,h9g7,b0a2,g6g5,h0g2,i9h9,i0h0,c9e7|h0h4
c3c4,b7c7,h2e2,h9g7,b0a2,g6g5,h0g2,i9h9,i0h0,c9e7,h0h4|d9e8
h2e2,h7e7,g3g4,h9g7|h0g2
h2e2,h7e7,g3g4,h9g7,h0g2|i9h9
h2e2,h7e7,g3g4,h9g7,h0g2,i9h9|b0c2
h2e2,h7e7,g3g4,h9g7,h0g2,i9h9,b0c2|b9c7
h2e2,h7e7,g3g4,h9g7,h0g2,i9h9,b0c2,b9c7|c3c4
h2e2,h7e7,g3g4,h9g7,h0g2,i9h9,b0c2,b9c7,c3c4|a9a8
c3c4,g6g5,h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,b0c2,c9e7|b2b9
c3c4,g6g5,h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,b0c2,c9e7,b2b9|a9b9
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,h0i2|h9h5
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,h0i2,h9h5|h2g2
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,h0i2,h9h5,h2g2|c9e7
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,h0i2,h9h5,h2g2,c9e7|g3g4
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h2d2,c9e7|h0g2
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h2d2,c9e7,h0g2|g7f5
c3c4,g6g5,b0c2,h9g7,b2a2,b7f7,a0b0,b9c7,h0i2,c9e7,h2f2|i9h9
c3c4,b7c7,g0e2,h7e7,b0c2,b9a7,c2b4|e7e3
c3c4,b7c7,g0e2,h7e7,b0c2,b9a7,c2b4,e7e3|f0e1
g0e2,h7d7,h2f2,h9g7,h0g2,i9h9,g3g4|b9c7
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,h9g7|i0h0
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,h9g7,i0h0|h7i7
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,h9g7,i0h0,h7i7|a0b0
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,h9g7,i0h0,h7i7,a0b0|i8d8
g0e2,b9c7,c3c4,h7e7,b2c2,e7e3,f0e1,i9i7,h0g2,e3e4|i0f0
c3c4,g6g5,b0c2,g9e7,c2d4|h9g7
c3c4,g6g5,b0c2,g9e7,c2d4,h9g7|h2d2
c3c4,g6g5,b0c2,g9e7,c2d4,h9g7,h2d2|b9a7
h2e2,b9c7,h0g2,h7f7,g3g4,h9g7,b0a2,i9i8,b2c2,a9b9|a0b0
h2e2,b9c7,h0g2,h7f7,g3g4,h9g7,b0a2,i9i8,b2c2,a9b9,a0b0|b7b3
b0c2,h9g7,c3c4,g6g5,h2e2,b9c7,h0g2,i9h9,i0i1|c9e7
b0c2,h9g7,c3c4,g6g5,h2e2,b9c7,h0g2,i9h9,i0i1,c9e7|i1f1
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7,h0g2|e3e4
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7,h0g2,e3e4|i0h0
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7,h0g2,e3e4,i0h0|i9h9
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7,h0g2,e3e4,i0h0,i9h9|h2h6
g0e2,h7e7,g3g4,e7e3,f0e1,h9g7,h0g2,e3e4,i0h0,i9h9,h2h6|b9c7
c3c4,g6g5,b2d2,h7e7,h2e2,h9g7,b0c2|b9a7
h2d2,h7d7,h0g2,h9g7,i0h0,g9e7,b0a2|a6a5
h2d2,h7d7,h0g2,h9g7,i0h0,g9e7,b0a2,a6a5|b2c2
h2d2,h7d7,h0g2,h9g7,i0h0,g9e7,b0a2,a6a5,b2c2|b9a7
h2d2,h7d7,h0g2,h9g7,i0h0,g9e7,b0a2,a6a5,b2c2,b9a7|a0b0
h2d2,h7d7,h0g2,h9g7,i0h0,g9e7,b0a2,a6a5,b2c2,b9a7,a0b0|b7b5
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0c2,c6c5|a0b0
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0c2,c6c5,a0b0|b9c7
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0c2,c6c5,a0b0,b9c7|b2b6
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0c2,c6c5,a0b0,b9c7,b2b6|h7h3
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,c3c4,g6g5,b0c2|b9a7
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,c3c4,g6g5,b0c2,b9a7|a0a1
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,h2f2,h9g7,h0g2,i9h9|i0h0
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,h2f2,h9g7,h0g2,i9h9,i0h0|a9a8
c3c4,b7c7,h2e2,g9e7,d0e1,c7c4,h0g2|b9c7
c3c4,b7c7,h2e2,g9e7,d0e1,c7c4,h0g2,b9c7|i0h0
c3c4,b7c7,h2e2,g9e7,d0e1,c7c4,h0g2,b9c7,i0h0|h9f8
c3c4,b7c7,h2e2,g9e7,d0e1,c7c4,h0g2,b9c7,i0h0,h9f8|e2f2
c3c4,b7c7,h2e2,g9e7,d0e1,c7c4,h0g2,b9c7,i0h0,h9f8,e2f2|g6g5
c3c4,b7c7,h2e2,c9e7,c0a2,g6g5,b2d2,h9g7,b0c2,b9a7|a0b0
c3c4,b7c7,h2e2,c9e7,c0a2,g6g5,b2d2,h9g7,b0c2,b9a7,a0b0|i9h9
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,g6g5,b0c2,c6c5,b4i4|i9h9
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b0c2,i8d8,g3g4,b9a7,e2f2|b7c7
c3c4,b7c7,h2e2,h9g7,h0g2,c6c5,i0h0,c5c4,b0a2,b9a7,b2b7|c7c0
g0e2,c9e7,g3g4,c6c5,h0g2,b9c7,b0a2,h9i7,b2c2,h7g7|a0b0
g0e2,c9e7,g3g4,c6c5,h0g2,b9c7,b0a2,h9i7,b2c2,h7g7,a0b0|i9h9
b0c2,c6c5,h2f2,h9i7,h0g2,h7g7|i0h0
b0c2,c6c5,h2f2,h9i7,h0g2,h7g7,i0h0|b9c7
b0c2,c6c5,h2f2,h9i7,h0g2,h7g7,i0h0,b9c7|g0e2
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b0a2,g9e7,a0a1|b7a7
c3c4,b7c7,g0e2,b9a7,b0c2,a9b9,c2d4,h9g7,a0a1,g9e7,g3g4|b9b5
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,b0a2,b9c7,h0h6,a9a8|b2d2
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,b0a2,b9c7,h0h6,a9a8,b2c2|c7b5
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,h0g2|i9i8
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,h0g2,i9i8|b2a2
b0c2,c6c5,g3g4,b7d7,h0g2|b9c7
b0c2,c6c5,g3g4,b7d7,h0g2,b9c7|a0b0
b0c2,c6c5,g3g4,b7d7,h0g2,b9c7,a0b0|a9b9
g0e2,g9e7,b2d2|c6c5
g0e2,g9e7,b2d2,c6c5|b0a2
g0e2,g9e7,b2d2,c6c5,b0a2|b9c7
g0e2,g9e7,b2d2,c6c5,b0a2,b9c7|a0b0
g0e2,g9e7,b2d2,c6c5,b0a2,b9c7,a0b0|a9b9
g0e2,g9e7,b2d2,c6c5,b0a2,b9c7,a0b0,a9b9|b0b4
g0e2,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,h7i7,b0c2,b9a7,c3c4|a9a8
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b2c2,c9e7|c3c4
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b2c2,c9e7,c3c4|d9e8
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,a9a8,b2d2,h7h5|a0a1
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,a9a8,b2d2,h7h5,a0a1|g9e7
g0e2,b7e7,b0c2,b9c7,a0b0,c6c5,g3g4|a9b9
g0e2,b7e7,b0c2,b9c7,a0b0,c6c5,g3g4,a9b9|h0g2
g0e2,b7e7,b0c2,b9c7,a0b0,c6c5,g3g4,a9b9,h0g2|h7h3
g0e2,b7e7,b0c2,b9c7,a0b0,c6c5,g3g4,a9b9,h0g2,h7h3|c3c4
g0e2,b7e7,b0c2,b9c7,a0b0,c6c5,g3g4,a9b9,h0g2,h7h3,c3c4|c5c4
g0e2,h7d7,i0i1,h9g7,i1d1,b9c7,c3c4|i9h9
g0e2,h7d7,i0i1,h9g7,i1d1,b9c7,c3c4,i9h9|h0f1
g0e2,h7d7,i0i1,h9g7,i1d1,b9c7,c3c4,i9h9,h0f1|h9h5
g0e2,h7d7,i0i1,h9g7,i1d1,b9c7,c3c4,i9h9,h0f1,h9h5|b0c2
g0e2,h7d7,i0i1,h9g7,i1d1,b9c7,c3c4,i9h9,h0f1,h9h5,b0c2|c6c5
g3g4,c6c5,h2e2,b9c7,h0g2,g9e7|i0h0
g3g4,c6c5,h2e2,b9c7,h0g2,g9e7,b0a2|h9f8
c3c4,b7c7,h2e2,h9g7,h0g2,c6c5,b0a2,c5c4,i0h0,i9i8,h0h4|b9a7
g0e2,h7f7,c3c4,h9g7,h0g2,i9h9,i0h0,b9c7,b0c2,h9h5,h2i2|h5h0
c3c4,g6g5,b2e2,b7e7,b0c2,b9c7,a0b0,a9a8,h0g2|a8f8
c3c4,g6g5,b2e2,b7e7,b0c2,b9c7,a0b0,a9a8,h0g2,a8f8|b0b5
c3c4,g6g5,b0c2,h9g7,h2f2|b9c7
g0e2,h7e7,h0g2,h9g7,i0h0,b7d7,b0c2,b9c7|a0b0
g0e2,h7e7,h0g2,h9g7,i0h0,b7d7,b0c2,b9c7,a0b0|a9b9
g0e2,h7e7,h0g2,h9g7,i0h0,b7d7,b0c2,b9c7,a0b0,a9b9|f0e1
b2d2,h7e7,h0g2,h9g7,i0h0,b9a7|b0c2
b2d2,h7e7,h0g2,h9g7,i0h0,b9a7,b0c2|a9b9
b2d2,h7e7,h0g2,h9g7,i0h0,b9a7,b0c2,a9b9|a0b0
g0e2,b7d7,b0a2,a6a5,g3g4|b9a7
g0e2,b7d7,b0a2,a6a5,g3g4,b9a7|h0g2
g0e2,b7d7,b0a2,a6a5,g3g4,b9a7,h0g2|a9b9
b2d2,c6c5,b0c2|b9c7
b2d2,c6c5,b0c2,b9c7|a0b0
b2d2,c6c5,b0c2,b9c7,a0b0|a9b9
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,g2h4|h9f8
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,g2h4,h9f8|a0a1
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,g2h4,h9f8,a0a1|i9h9
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,g2h4,h9f8,a0a1,i9h9|h4g6
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,g2h4,h9f8,a0a1,i9h9,h4g6|h7g7
g0e2,h7e7,h0g2,h9g7,g3g4,i9h9,i0h0,h9h5,b0c2,b9a7|b2b4
g0e2,c9e7,g3g4,c6c5,h0g2,b9c7,b0a2,h9i7,b2c2,i9i8|a0b0
g0e2,c9e7,g3g4,c6c5,h0g2,b9c7,b0a2,h9i7,b2c2,i9i8,a0b0|a9b9
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,b2a2|a9b9
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,b2a2,a9b9|a0b0
c3c4,b7c7,h2e2,c9e7,c0a2,h9g7,h0g2,i9h9,b2d2,g6g5|b0c2
c3c4,b7c7,h2e2,c9e7,c0a2,h9g7,h0g2,i9h9,b2d2,g6g5,b0c2|h7i7
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,b0a2,b9c7,h0h6,c9e7,b2c2|c7b5
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,a0a1,a9a8,a1g1|a8d8
h2f2,c6c5,h0g2,h9g7,i0h0,i9h9,g3g4,b9c7,b0c2|g9e7
